grade,semester,chapter,question,s1,s2,s3,s4,s5,answer,difficulty,explanation
3,1,5. 길이와 시간,"민준이는 숙제인 리코더 연습을 하고, 이어서 글씨 쓰기 연습을 했습니다. 숙제를 끝낸 시각이 11시 2분 59초였을 때, 리코더 연습을 시작한 시각을 구해 보세요. 리코더 연습: 4분 16초, 글씨 쓰기 연습: 7분 38초",,,,,,10시 51분 5초,1,(글씨 쓰기 연습을 시작한 시각)=11시 2분 59초-7분 38초=10시 55분 21초(리코더 연습을 시작한 시각)=10시 55분 21초-4분 16초=10시 51분 5초
3,1,6. 분수와 소수,"직사각형 모양의 종이를 반으로 접은 다음 다시 반으로 접었습니다. 이것을 한 번 더 반으로 접은 다음 펼쳤을 때, 나누어진 작은 도형 하나의 크기를 분수로 나타내시오.",,,,,,1/8,2,펼쳤을 때 똑같이 나누어진 작은 도형은 8개입니다.
3,1,6. 분수와 소수,"가희와 찬우는 똑같은 동화책을 끝까지 읽으려고 합니다. 가희는 전체의 9/13를 읽었고, 찬우는 전체의 12/13를 읽었습니다. 가희가 더 읽어야 하는 양은 찬우가 더 읽어야 하는 양의 몇 배인지 구해 보시오.",2배,3배,4배,1/2배,1/4배,3,0,"가희가 더 읽어야 하는 양은 전체의 4/13이고, 찬우가 더 읽어야 하는 양은 1/13입니다.따라서 4/13는 1/13이 4개인 수이므로 가희가 더 읽어야 하는 양은 찬우가 더 읽어야 하는 양의 4배입니다."
3,1,4. 곱셈,어떤 수에 5를 곱해야 할 것을 잘못하여 5를 더하였더니 17이 되었습니다. 바르게 계산한 값은 얼마입니까?,,,,,,60,0,"어떤 수를 □라 하여 잘못 계산한 것을 식으로 나타내면 □+5=17 입니다.
□= 17-5= 12 이므로 어떤 수는 12 입니다.
⇨ 바르게 계산하면 12×5= 60 입니다."
3,1,3. 나눗셈,농구 시합에 필요한 선수는 한 팀당 5명입니다. 농구 선수 30명으로 농구팀을 몇 팀 만들 수 있습니까?,2팀,3팀,3팀,5팀,6팀,5,2,"30÷5 = 6, 따라서 농구팀을 6 팀 만들 수 있습니다."
3,2,5. 들이와 무게,들이가 가장 많은 것은 어느 것입니까?,1080mL,10L 80mL,1L 800mL,18L,10L 800mL,4,2,18L > 10L 800mL > 10L 80mL > 1L 800mL > 1L 80mL
3,2,5. 들이와 무게,2 L 의 물이 들어 있는 물통에 460 mL 의 물을 더 부었습니다. 물통에 들어 있는 물은 모두 몇 mL입니까?,,,,,,2460mL,1,2L + 460mL = 2L 460mL = 2460mL
3,1,1. 덧셈과 뺄셈,슬기는 아침마다 달리기를 합니다. 오늘 아침에는 247m 를 달렸습니다. 내일부터는 전날보다 179m 씩 더 달리려고 합니다. 계속 이렇게 달린다면 3 일 후에는 몇 m를 달려야 하는지 구하시오.,,,,,,784m,1,"오늘 달린 거리 : 247m ,
1 일 후 달려야 하는 거리 : 247+179=426( m) ,
2 일 후 달려야 하는 거리 : 426+179=605( m) ,
3 일 후 달려야 하는 거리 : 605+179=784( m)"
3,2,4. 분수,학생 40 명이 8 명씩 한 팀이 되어 피구를 합니다. 24 명은 전체의 얼마인지 분수로 나타내시오.,1/6,1/2,2/5,3/5,5/6,4,2,8명씩 한 팀으로 묶으면 5팀이 되고 24명은 3팀으로 전체의 3/5 입니다.
3,2,4. 분수,길이가 가장 긴 것은 어느 것입니까?,36cm의 2/3,36cm의 1/4,36cm의 5/6,36cm의 7/9,36cm의 7/12,3,2,① 24 cm ② 9 cm ③ 30cm ④ 28cm ⑤ 21 cm
